export_version,figure,panel,panel_title,plot_order,point_index,group,metric,rho,clip_cap,clip_cap_label,x,y,value,count,style_key,label
tikz-v2,weight_clipping_frontier,B,adaptation,3,9,adaptation,oracle_tail_mismatch,0.5,55.0,c=55,1.740362689494244,1.330446443324427e-13,1.330446443324427e-13,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,weight_clipping_frontier,B,adaptation,3,10,adaptation,oracle_tail_mismatch,0.5,89.0,c=89,1.9493900066449128,1.4680077564273372e-14,1.4680077564273372e-14,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,weight_clipping_frontier,B,adaptation,3,11,adaptation,oracle_tail_mismatch,0.5,inf,unclipped,2.299390006644913,4.0562024061897673e-16,4.0562024061897673e-16,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,weight_clipping_frontier,B,adaptation,3,12,adaptation,oracle_tail_mismatch,1.5,1.0,c=1,0.0,1.83230644076053,1.83230644076053,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,weight_clipping_frontier,B,adaptation,3,13,adaptation,oracle_tail_mismatch,1.5,1.5,c=1.5,0.1760912590556812,1.7373915129165414,1.7373915129165414,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,weight_clipping_frontier,B,adaptation,3,14,adaptation,oracle_tail_mismatch,1.5,2.0,c=2,0.3010299956639812,1.6618173385725417,1.6618173385725417,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,weight_clipping_frontier,B,adaptation,3,15,adaptation,oracle_tail_mismatch,1.5,3.0,c=3,0.4771212547196624,1.5441454838388222,1.5441454838388222,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,weight_clipping_frontier,B,adaptation,3,16,adaptation,oracle_tail_mismatch,1.5,5.0,c=5,0.6989700043360189,1.3796190248926377,1.3796190248926377,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,weight_clipping_frontier,B,adaptation,3,17,adaptation,oracle_tail_mismatch,1.5,8.0,c=8,0.9030899869919436,1.2168677623436834,1.2168677623436834,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,weight_clipping_frontier,B,adaptation,3,18,adaptation,oracle_tail_mismatch,1.5,13.0,c=13,1.1139433523068367,1.0427058689068496,1.0427058689068496,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,weight_clipping_frontier,B,adaptation,3,19,adaptation,oracle_tail_mismatch,1.5,21.0,c=21,1.3222192947339193,0.8701356308933299,0.8701356308933299,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,weight_clipping_frontier,B,adaptation,3,20,adaptation,oracle_tail_mismatch,1.5,34.0,c=34,1.5314789170422551,0.7016578826340838,0.7016578826340838,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,weight_clipping_frontier,B,adaptation,3,21,adaptation,oracle_tail_mismatch,1.5,55.0,c=55,1.740362689494244,0.5434056347110502,0.5434056347110502,500,mismatch,oracle shifted-null tail mismatch
