summary_version,scenario,alpha,pi1,kappa,x_bin,y_bin,x_left,x_right,y_bottom,y_top,successes,count,probability
split-v5:unweighted:bh,baseline,0.1,0.1,inf,5,10,3.291666666666667,3.5,4.333333333333334,4.541666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,5,10,3.291666666666667,3.5,4.333333333333334,4.541666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,5,11,3.291666666666667,3.5,4.541666666666667,4.75,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,5,11,3.291666666666667,3.5,4.541666666666667,4.75,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,6,0,3.5,3.7083333333333335,2.25,2.4583333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,6,0,3.5,3.7083333333333335,2.25,2.4583333333333335,18.0,25.0,0.72
split-v5:unweighted:bh,baseline,0.1,0.1,inf,6,1,3.5,3.7083333333333335,2.4583333333333335,2.6666666666666665,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,6,1,3.5,3.7083333333333335,2.4583333333333335,2.6666666666666665,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,6,2,3.5,3.7083333333333335,2.6666666666666665,2.875,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,6,2,3.5,3.7083333333333335,2.6666666666666665,2.875,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,6,3,3.5,3.7083333333333335,2.875,3.0833333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,6,3,3.5,3.7083333333333335,2.875,3.0833333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,6,4,3.5,3.7083333333333335,3.0833333333333335,3.291666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,6,4,3.5,3.7083333333333335,3.0833333333333335,3.291666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,6,5,3.5,3.7083333333333335,3.291666666666667,3.5,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,6,5,3.5,3.7083333333333335,3.291666666666667,3.5,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,6,6,3.5,3.7083333333333335,3.5,3.7083333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,6,6,3.5,3.7083333333333335,3.5,3.7083333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,6,7,3.5,3.7083333333333335,3.7083333333333335,3.916666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,6,7,3.5,3.7083333333333335,3.7083333333333335,3.916666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,6,8,3.5,3.7083333333333335,3.916666666666667,4.125,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,6,8,3.5,3.7083333333333335,3.916666666666667,4.125,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,6,9,3.5,3.7083333333333335,4.125,4.333333333333334,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,6,9,3.5,3.7083333333333335,4.125,4.333333333333334,25.0,25.0,1.0
