export_version,figure,panel,panel_title,plot_order,group,method,score_regime,sweep,x,y,x_left,x_right,y_bottom,y_top,x_value,x_label,alpha,m,target_pi1,n_anomaly_fixed,value,power,discovery_probability,fdr,median_log10_rank_delta,rank_delta_above_one_rate,mean_auroc,count,style_key,label
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,2.0,-1.1505149978319906,-0.8494850021680094,1.9,2.1,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0004,0.0004,0.02,0.01,0.3109099602019385,0.81,0.7551229473684211,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,2.2,-1.1505149978319906,-0.8494850021680094,2.1,2.3,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0,0.0,0.0,0.02,0.1426675035687315,0.82,0.7655450526315789,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,2.4,-1.1505149978319906,-0.8494850021680094,2.3,2.5,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0,0.0,0.0,0.0,-0.0671135718355703,0.28,0.7576280000000001,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,2.6,-1.1505149978319906,-0.8494850021680094,2.5,2.7,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0006,0.0006,0.03,0.015,-0.2999429000227671,0.0,0.7619734736842106,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,2.8,-1.1505149978319906,-0.8494850021680094,2.7,2.9,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0004,0.0004,0.02,0.01,-0.4894620161977467,0.0,0.7563033684210526,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,3.0,-1.1505149978319906,-0.8494850021680094,2.9,3.1,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.001,0.001,0.03,0.026,-0.6994040818153374,0.0,0.7626604210526315,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,3.2,-1.1505149978319906,-0.8494850021680094,3.1,3.3,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0004,0.0004,0.02,0.0341666666666666,-0.8726578032548046,0.0,0.7652046315789476,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,3.4,-1.1505149978319906,-0.8494850021680094,3.3,3.5,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0014,0.0014,0.05,0.04,-1.0534626049254554,0.0,0.7592964210526315,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,3.6,-1.1505149978319906,-0.8494850021680094,3.5,3.7,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0006,0.0006,0.03,0.04,-1.2533380053261065,0.0,0.7564391578947367,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,3.8,-1.1505149978319906,-0.8494850021680094,3.7,3.9,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0024,0.0024,0.08,0.0570833333333333,-1.443302907622753,0.0,0.7630162105263159,100,finite_k1_alpha_sweep,statistical power
