summary_version,collection,sweep,score_regime,x_index,x_value,x_plot,x_left,x_right,log10_neff_bin,log10_neff_left,log10_neff_right,log10_neff_center,alpha,m,target_pi1,n_anomaly_fixed,count,mean_n_cal,mean_rho,mean_neff,log10_mean_neff,mean_n_anomaly,actual_pi1,discovery_probability,power,fdr,mean_log10_rank_delta,median_log10_rank_delta,rank_delta_above_one_rate,mean_auroc,perfect_separation_rate
operational-envelope-v4,atlas,m_fixed_pi,perfect,1,100.0,2.0,1.8494850021680094,2.1505149978319906,1,1.5,1.7,1.6,0.1,100,0.05,,100,140.17,0.57,40.78829238803084,1.610535523851564,5.0,0.04999999999999999,0.07,0.026000000000000002,0.0125,0.6378654774176735,0.6906287565830828,0.96,1.0,1.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k1,1,100.0,2.0,1.8494850021680094,2.1505149978319906,1,1.5,1.7,1.6,0.1,100,0.05,,100,140.17,0.57,40.78829238803084,1.610535523851564,5.0,0.04999999999999999,0.0,0.0,0.02,0.6378654774176735,0.6906287565830828,0.96,0.7822526315789474,0.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k2,1,100.0,2.0,1.8494850021680094,2.1505149978319906,1,1.5,1.7,1.6,0.1,100,0.05,,100,140.17,0.57,40.78829238803084,1.610535523851564,5.0,0.04999999999999999,0.0,0.0,0.02,0.6378654774176735,0.6906287565830828,0.96,0.9350315789473683,0.02
operational-envelope-v4,atlas,m_fixed_pi,finite_k3,1,100.0,2.0,1.8494850021680094,2.1505149978319906,1,1.5,1.7,1.6,0.1,100,0.05,,100,140.17,0.57,40.78829238803084,1.610535523851564,5.0,0.04999999999999999,0.01,0.006,0.0125,0.6378654774176735,0.6906287565830828,0.96,0.9874947368421053,0.37
operational-envelope-v4,atlas,m_fixed_pi,perfect,1,100.0,2.0,1.8494850021680094,2.1505149978319906,2,1.7,1.9,1.7999999999999998,0.1,100,0.05,,100,332.74,0.715,65.35969697229496,1.815310030005919,5.0,0.04999999999999999,0.19,0.09399999999999999,0.035,0.315934566324384,0.47408102992546797,0.82,1.0,1.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k1,1,100.0,2.0,1.8494850021680094,2.1505149978319906,2,1.7,1.9,1.7999999999999998,0.1,100,0.05,,100,332.74,0.715,65.35969697229496,1.815310030005919,5.0,0.04999999999999999,0.02,0.006000000000000001,0.0275,0.315934566324384,0.47408102992546797,0.82,0.7629894736842104,0.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k2,1,100.0,2.0,1.8494850021680094,2.1505149978319906,2,1.7,1.9,1.7999999999999998,0.1,100,0.05,,100,332.74,0.715,65.35969697229496,1.815310030005919,5.0,0.04999999999999999,0.07,0.02,0.012666666666666666,0.315934566324384,0.47408102992546797,0.82,0.9229894736842104,0.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k3,1,100.0,2.0,1.8494850021680094,2.1505149978319906,2,1.7,1.9,1.7999999999999998,0.1,100,0.05,,100,332.74,0.715,65.35969697229496,1.815310030005919,5.0,0.04999999999999999,0.08,0.036000000000000004,0.021666666666666664,0.315934566324384,0.47408102992546797,0.82,0.9826315789473683,0.18
operational-envelope-v4,atlas,m_fixed_pi,perfect,1,100.0,2.0,1.8494850021680094,2.1505149978319906,3,1.9,2.1,2.0,0.1,100,0.05,,100,420.6,0.68,104.3835036130769,2.0186318697783956,5.0,0.04999999999999999,0.28,0.168,0.03016666666666667,0.1716026601074123,0.2967086218813386,0.77,1.0,1.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k1,1,100.0,2.0,1.8494850021680094,2.1505149978319906,3,1.9,2.1,2.0,0.1,100,0.05,,100,420.6,0.68,104.3835036130769,2.0186318697783956,5.0,0.04999999999999999,0.02,0.004,0.03166666666666666,0.1716026601074123,0.2967086218813386,0.77,0.7618947368421053,0.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k2,1,100.0,2.0,1.8494850021680094,2.1505149978319906,3,1.9,2.1,2.0,0.1,100,0.05,,100,420.6,0.68,104.3835036130769,2.0186318697783956,5.0,0.04999999999999999,0.06,0.012000000000000002,0.03666666666666667,0.1716026601074123,0.2967086218813386,0.77,0.9218736842105264,0.03
operational-envelope-v4,atlas,m_fixed_pi,finite_k3,1,100.0,2.0,1.8494850021680094,2.1505149978319906,3,1.9,2.1,2.0,0.1,100,0.05,,100,420.6,0.68,104.3835036130769,2.0186318697783956,5.0,0.04999999999999999,0.13,0.046,0.0245,0.1716026601074123,0.2967086218813386,0.77,0.9837894736842105,0.16
