summary_version,base_seed,weighted_simulator_version,target_log10_neff,neff_band_lower,neff_band_upper,neff_half_width,rho,alpha,m,pi1,requested_trials,attempt_index,accepted_index,n_cal,calib_ess,log10_neff,n_anomaly,actual_pi1,rank_delta,log10_rank_delta,rank_delta_above_one,perfect_any_discovery,perfect_power,perfect_fdr,perfect_auroc,perfect_perfect_separation_rate,finite_k3_any_discovery,finite_k3_power,finite_k3_fdr,finite_k3_auroc,finite_k3_perfect_separation_rate,attempts_for_cell
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,110,55,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9954526315789474,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,111,56,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9797894736842107,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,115,57,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9779368421052632,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,116,58,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9936,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,117,59,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.987621052631579,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,121,60,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9930105263157895,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,122,61,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9949473684210526,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,123,62,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9948631578947369,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,127,63,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9562947368421054,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,128,64,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.960336842105263,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,129,65,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9935157894736842,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,133,66,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9873684210526315,0.0,200
