summary_version,aggregation_unit,method,source_summary_version,score_regime,bin_index,diagnostic_left,diagnostic_right,diagnostic_center,cell_count,diagnostic_mean,power_mean,power_median,power_q25,power_q75
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k3,12,1.3571428571428577,1.6785714285714288,1.5178571428571432,9,1.5191604859672958,0.002266666666666667,0.002,0.0,0.003
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k3,13,1.6785714285714288,2.0,1.8392857142857144,5,1.8205378286461928,0.00288,0.0014,0.0,0.005
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,perfect,0,-2.5,-2.1785714285714284,-2.3392857142857144,1,-2.184798086384172,1.0,1.0,1.0,1.0
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,perfect,1,-2.1785714285714284,-1.8571428571428572,-2.017857142857143,5,-2.0119042275181593,1.0,1.0,1.0,1.0
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,perfect,2,-1.8571428571428572,-1.5357142857142856,-1.6964285714285714,20,-1.6499884761775334,1.0,1.0,1.0,1.0
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,perfect,3,-1.5357142857142856,-1.2142857142857142,-1.375,26,-1.359928364236651,0.9994692307692309,1.0,1.0,1.0
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,perfect,4,-1.2142857142857142,-0.8928571428571428,-1.0535714285714284,33,-1.0276348419358394,0.9973772727272726,0.9992,0.9969,1.0
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,perfect,5,-0.8928571428571428,-0.5714285714285712,-0.732142857142857,35,-0.7218446433157011,0.9826471428571427,0.984,0.973,0.995
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,perfect,6,-0.5714285714285712,-0.25,-0.4107142857142856,40,-0.3984607935420004,0.930015,0.9329000000000001,0.8973125000000001,0.9585875
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,perfect,7,-0.25,0.07142857142857162,-0.08928571428571419,32,-0.08814572889178635,0.7168453125,0.7467,0.6622999999999999,0.7749
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,perfect,8,0.07142857142857162,0.39285714285714324,0.23214285714285743,40,0.22059743046230365,0.23079624999999995,0.21119999999999994,0.15204999999999996,0.32165
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,perfect,9,0.39285714285714324,0.7142857142857144,0.5535714285714288,35,0.5637832130663092,0.07430571428571428,0.0756,0.05604999999999995,0.09049999999999994
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,perfect,10,0.7142857142857144,1.035714285714286,0.8750000000000002,26,0.8700679866681905,0.03242307692307691,0.0315,0.020949999999999976,0.0414
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,perfect,11,1.035714285714286,1.3571428571428577,1.1964285714285718,15,1.2065368410510282,0.013553333333333318,0.0139999999999999,0.0064,0.0199
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,perfect,12,1.3571428571428577,1.6785714285714288,1.5178571428571432,9,1.5191604859672958,0.007333333333333323,0.0069999999999999,0.0054,0.0086
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,perfect,13,1.6785714285714288,2.0,1.8392857142857144,5,1.8205378286461928,0.00815999999999998,0.0069999999999999,0.005,0.0132
