summary_version,collection,sweep,score_regime,x_index,x_value,x_plot,x_left,x_right,log10_neff_bin,log10_neff_left,log10_neff_right,log10_neff_center,alpha,m,target_pi1,n_anomaly_fixed,count,mean_n_cal,mean_rho,mean_neff,log10_mean_neff,mean_n_anomaly,actual_pi1,discovery_probability,power,fdr,mean_log10_rank_delta,median_log10_rank_delta,certified_no_rank_rate,mean_auroc,perfect_separation_rate
operational-envelope-v1,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,5,2.3000000000000003,2.5,2.4000000000000004,0.1,50,0.05,,100,786.99,0.7,257.3539673214336,2.410530867641661,2.0,0.039999999999999994,0.76,0.69,0.066,-0.19055487340386698,-0.0644579892269185,0.28,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,5,2.3000000000000003,2.5,2.4000000000000004,0.1,50,0.05,,100,786.99,0.7,257.3539673214336,2.410530867641661,2.0,0.039999999999999994,0.42,0.315,0.05833333333333333,-0.19055487340386698,-0.0644579892269185,0.28,0.9863541666666665,0.27
operational-envelope-v1,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,6,2.5,2.7,2.6,0.1,50,0.05,,100,1103.68,0.64,403.1799147903794,2.6054988887326656,2.0,0.039999999999999994,0.91,0.855,0.05380952380952381,-0.29016369805866626,-0.2195832754345654,0.11,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,6,2.5,2.7,2.6,0.1,50,0.05,,100,1103.68,0.64,403.1799147903794,2.6054988887326656,2.0,0.039999999999999994,0.47,0.355,0.045476190476190476,-0.29016369805866626,-0.2195832754345654,0.11,0.9862500000000002,0.14
operational-envelope-v1,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,7,2.7,2.9000000000000004,2.8000000000000003,0.1,50,0.05,,100,1998.28,0.705,649.01633174985,2.812255625459226,2.0,0.039999999999999994,0.97,0.94,0.103,-0.5964181206975919,-0.4635944021870002,0.03,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,7,2.7,2.9000000000000004,2.8000000000000003,0.1,50,0.05,,100,1998.28,0.705,649.01633174985,2.812255625459226,2.0,0.039999999999999994,0.73,0.51,0.09933333333333333,-0.5964181206975919,-0.4635944021870002,0.03,0.9841666666666667,0.09
operational-envelope-v1,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,8,2.9000000000000004,3.1000000000000005,3.0000000000000004,0.1,50,0.05,,100,1923.54,0.535,1012.2573583313116,3.0052909424382968,2.0,0.039999999999999994,0.99,0.98,0.08047619047619048,-0.6706996658173465,-0.6024940688072811,0.01,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,8,2.9000000000000004,3.1000000000000005,3.0000000000000004,0.1,50,0.05,,100,1923.54,0.535,1012.2573583313116,3.0052909424382968,2.0,0.039999999999999994,0.65,0.495,0.0788095238095238,-0.6706996658173465,-0.6024940688072811,0.01,0.9772916666666666,0.13
operational-envelope-v1,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,9,3.1000000000000005,3.3000000000000007,3.2000000000000006,0.1,50,0.05,,100,2663.3,0.495,1615.7552247868555,3.208375568953325,2.0,0.039999999999999994,0.98,0.98,0.08766666666666666,-0.8892799362296518,-0.823670237641207,0.0,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,9,3.1000000000000005,3.3000000000000007,3.2000000000000006,0.1,50,0.05,,100,2663.3,0.495,1615.7552247868555,3.208375568953325,2.0,0.039999999999999994,0.79,0.6,0.07666666666666666,-0.8892799362296518,-0.823670237641207,0.0,0.9858333333333331,0.1
