summary_version,world_id,rho,world_seed,discoveries,theorem_probability,observed_probability,observed_count,n_randomizations
randomized-instability-frontier-v2,rho_0000_seed_003,0.0,3,3,0.07651603249923576,0.07545,1509,20000
randomized-instability-frontier-v2,rho_0000_seed_003,0.0,3,4,0.05524266688931819,0.0555,1110,20000
randomized-instability-frontier-v2,rho_0000_seed_003,0.0,3,5,0.039140492511542176,0.03895,779,20000
randomized-instability-frontier-v2,rho_0000_seed_003,0.0,3,6,0.02645029875778349,0.0264,528,20000
randomized-instability-frontier-v2,rho_0000_seed_003,0.0,3,7,0.016471113451742434,0.01625,325,20000
randomized-instability-frontier-v2,rho_0000_seed_003,0.0,3,8,0.008959970235502454,0.0099,198,20000
randomized-instability-frontier-v2,rho_0000_seed_003,0.0,3,9,0.0038443477272130963,0.00485,97,20000
randomized-instability-frontier-v2,rho_0000_seed_003,0.0,3,10,0.000996270472039504,0.001,20,20000
randomized-instability-frontier-v2,rho_0000_seed_004,0.0,4,0,0.49900000000000166,0.49915,9983,20000
randomized-instability-frontier-v2,rho_0000_seed_004,0.0,4,1,0.1657148289466804,0.1648,3296,20000
randomized-instability-frontier-v2,rho_0000_seed_004,0.0,4,2,0.10766397850894104,0.10845,2169,20000
randomized-instability-frontier-v2,rho_0000_seed_004,0.0,4,3,0.07651603249923576,0.07605,1521,20000
randomized-instability-frontier-v2,rho_0000_seed_004,0.0,4,4,0.05524266688931819,0.05435,1087,20000
randomized-instability-frontier-v2,rho_0000_seed_004,0.0,4,5,0.039140492511542176,0.04095,819,20000
randomized-instability-frontier-v2,rho_0000_seed_004,0.0,4,6,0.02645029875778349,0.02685,537,20000
randomized-instability-frontier-v2,rho_0000_seed_004,0.0,4,7,0.016471113451742434,0.0146,292,20000
randomized-instability-frontier-v2,rho_0000_seed_004,0.0,4,8,0.008959970235502454,0.00925,185,20000
randomized-instability-frontier-v2,rho_0000_seed_004,0.0,4,9,0.0038443477272130963,0.00435,87,20000
randomized-instability-frontier-v2,rho_0000_seed_004,0.0,4,10,0.000996270472039504,0.0012,24,20000
randomized-instability-frontier-v2,rho_0000_seed_005,0.0,5,0,0.49900000000000166,0.5003,10006,20000
randomized-instability-frontier-v2,rho_0000_seed_005,0.0,5,1,0.1657148289466804,0.168,3360,20000
randomized-instability-frontier-v2,rho_0000_seed_005,0.0,5,2,0.10766397850894104,0.1079,2158,20000
randomized-instability-frontier-v2,rho_0000_seed_005,0.0,5,3,0.07651603249923576,0.075,1500,20000
randomized-instability-frontier-v2,rho_0000_seed_005,0.0,5,4,0.05524266688931819,0.0544,1088,20000
randomized-instability-frontier-v2,rho_0000_seed_005,0.0,5,5,0.039140492511542176,0.0395,790,20000
randomized-instability-frontier-v2,rho_0000_seed_005,0.0,5,6,0.02645029875778349,0.0233,466,20000
randomized-instability-frontier-v2,rho_0000_seed_005,0.0,5,7,0.016471113451742434,0.0167,334,20000
randomized-instability-frontier-v2,rho_0000_seed_005,0.0,5,8,0.008959970235502454,0.0101,202,20000
randomized-instability-frontier-v2,rho_0000_seed_005,0.0,5,9,0.0038443477272130963,0.00385,77,20000
randomized-instability-frontier-v2,rho_0000_seed_005,0.0,5,10,0.000996270472039504,0.00095,19,20000
randomized-instability-frontier-v2,rho_0000_seed_006,0.0,6,0,0.49900000000000166,0.49285,9857,20000
randomized-instability-frontier-v2,rho_0000_seed_006,0.0,6,1,0.1657148289466804,0.17135,3427,20000
randomized-instability-frontier-v2,rho_0000_seed_006,0.0,6,2,0.10766397850894104,0.1078,2156,20000
randomized-instability-frontier-v2,rho_0000_seed_006,0.0,6,3,0.07651603249923576,0.0752,1504,20000
randomized-instability-frontier-v2,rho_0000_seed_006,0.0,6,4,0.05524266688931819,0.0556,1112,20000
randomized-instability-frontier-v2,rho_0000_seed_006,0.0,6,5,0.039140492511542176,0.03765,753,20000
randomized-instability-frontier-v2,rho_0000_seed_006,0.0,6,6,0.02645029875778349,0.0268,536,20000
randomized-instability-frontier-v2,rho_0000_seed_006,0.0,6,7,0.016471113451742434,0.01835,367,20000
randomized-instability-frontier-v2,rho_0000_seed_006,0.0,6,8,0.008959970235502454,0.0091,182,20000
randomized-instability-frontier-v2,rho_0000_seed_006,0.0,6,9,0.0038443477272130963,0.0042,84,20000
randomized-instability-frontier-v2,rho_0000_seed_006,0.0,6,10,0.000996270472039504,0.0011,22,20000
randomized-instability-frontier-v2,rho_0000_seed_007,0.0,7,0,0.49900000000000166,0.49905,9981,20000
randomized-instability-frontier-v2,rho_0000_seed_007,0.0,7,1,0.1657148289466804,0.16755,3351,20000
randomized-instability-frontier-v2,rho_0000_seed_007,0.0,7,2,0.10766397850894104,0.11035,2207,20000
randomized-instability-frontier-v2,rho_0000_seed_007,0.0,7,3,0.07651603249923576,0.0742,1484,20000
randomized-instability-frontier-v2,rho_0000_seed_007,0.0,7,4,0.05524266688931819,0.05485,1097,20000
randomized-instability-frontier-v2,rho_0000_seed_007,0.0,7,5,0.039140492511542176,0.03825,765,20000
randomized-instability-frontier-v2,rho_0000_seed_007,0.0,7,6,0.02645029875778349,0.02625,525,20000
randomized-instability-frontier-v2,rho_0000_seed_007,0.0,7,7,0.016471113451742434,0.01675,335,20000
